geracao,melhor_afinidade,media_afinidade
1,0.870000,0.805667
2,0.870000,0.835667
3,0.870000,0.821667
4,0.870000,0.810333
5,0.870000,0.816667
6,0.870000,0.831667
7,0.870000,0.824000
8,0.870000,0.821333
9,0.870000,0.815667
10,0.870000,0.832667
11,0.870000,0.806667
12,0.870000,0.822000
13,0.870000,0.805667
14,0.890000,0.834667
15,0.890000,0.852000
16,0.890000,0.815333
17,0.890000,0.836333
18,0.890000,0.811333
19,0.890000,0.823333
20,0.890000,0.828333
21,0.890000,0.807667
22,0.890000,0.836333
23,0.890000,0.816000
24,0.890000,0.831333
25,0.890000,0.834667
26,0.890000,0.836667
27,0.890000,0.814333
28,0.890000,0.838333
29,0.890000,0.815667
30,0.890000,0.821667
31,0.890000,0.825000
32,0.890000,0.817333
33,0.890000,0.830667
34,0.890000,0.833000
35,0.890000,0.836000
36,0.890000,0.843000
37,0.890000,0.844667
38,0.950000,0.847667
39,0.950000,0.863333
40,0.950000,0.894333
41,0.950000,0.915333
42,0.950000,0.877667
43,0.950000,0.912333
44,0.950000,0.914000
45,0.950000,0.888333
46,0.950000,0.880000
47,0.950000,0.897000
48,0.950000,0.892667
49,0.950000,0.878333
50,0.950000,0.912000
