populacao,geracao,melhor_afinidade,media_afinidade
10,1,0.860000,0.776000
10,2,0.860000,0.803000
10,3,0.860000,0.818000
10,4,0.860000,0.775000
10,5,0.860000,0.791000
10,6,0.860000,0.820000
10,7,0.860000,0.795000
10,8,0.860000,0.792000
10,9,0.930000,0.867000
10,10,0.930000,0.894000
10,11,0.930000,0.914000
10,12,0.930000,0.884000
10,13,0.930000,0.867000
10,14,0.930000,0.905000
10,15,0.930000,0.884000
10,16,0.930000,0.880000
10,17,0.930000,0.874000
10,18,0.930000,0.873000
10,19,0.930000,0.880000
10,20,0.930000,0.897000
10,21,0.930000,0.851000
10,22,0.930000,0.845000
10,23,0.930000,0.890000
10,24,0.930000,0.849000
10,25,0.930000,0.873000
10,26,0.930000,0.867000
10,27,0.930000,0.907000
10,28,0.930000,0.883000
10,29,0.930000,0.887000
10,30,0.930000,0.877000
10,31,0.930000,0.870000
10,32,0.930000,0.866000
10,33,0.930000,0.872000
10,34,0.930000,0.888000
10,35,0.930000,0.883000
10,36,0.930000,0.889000
10,37,0.930000,0.837000
10,38,0.930000,0.877000
10,39,0.930000,0.909000
10,40,0.930000,0.874000
10,41,0.930000,0.867000
10,42,0.930000,0.854000
10,43,0.930000,0.861000
10,44,0.930000,0.879000
10,45,0.930000,0.891000
10,46,0.930000,0.858000
10,47,0.930000,0.838000
10,48,0.930000,0.883000
10,49,0.930000,0.858000
10,50,0.930000,0.861000
15,1,0.870000,0.815333
15,2,0.870000,0.800000
15,3,0.870000,0.804000
15,4,0.870000,0.834667
15,5,0.870000,0.840000
15,6,0.870000,0.828667
15,7,0.870000,0.825333
15,8,0.870000,0.799333
15,9,0.870000,0.819333
15,10,0.870000,0.769333
15,11,0.870000,0.786667
15,12,0.870000,0.809333
15,13,0.870000,0.777333
15,14,0.870000,0.802667
15,15,0.870000,0.800000
15,16,0.870000,0.794000
15,17,0.870000,0.790000
15,18,0.870000,0.824000
15,19,0.870000,0.792000
15,20,0.870000,0.836667
15,21,0.870000,0.819333
15,22,0.870000,0.814000
15,23,0.870000,0.802667
15,24,0.870000,0.822667
15,25,0.870000,0.768667
15,26,0.870000,0.797333
15,27,0.870000,0.798000
15,28,0.870000,0.831333
15,29,0.870000,0.814000
15,30,0.870000,0.795333
15,31,0.870000,0.811333
15,32,0.870000,0.819333
15,33,0.870000,0.780667
15,34,0.870000,0.826667
15,35,0.870000,0.785333
15,36,0.870000,0.798000
15,37,0.870000,0.804000
15,38,0.870000,0.785333
15,39,0.870000,0.784000
15,40,0.890000,0.841333
15,41,0.890000,0.800667
15,42,0.890000,0.773333
15,43,0.890000,0.838667
15,44,0.890000,0.822000
15,45,0.890000,0.810000
15,46,0.890000,0.786000
15,47,0.890000,0.816000
15,48,0.890000,0.817333
15,49,0.890000,0.841333
15,50,0.890000,0.826000
20,1,0.870000,0.820500
20,2,0.870000,0.815000
20,3,0.870000,0.828000
20,4,0.870000,0.824500
20,5,0.870000,0.814000
20,6,0.870000,0.802500
20,7,0.910000,0.831500
20,8,0.910000,0.821000
20,9,0.910000,0.877000
20,10,0.910000,0.893500
20,11,0.910000,0.853000
20,12,0.910000,0.879500
20,13,0.910000,0.852000
20,14,0.980000,0.868000
20,15,0.980000,0.898000
20,16,0.980000,0.894500
20,17,0.980000,0.895500
20,18,0.980000,0.883000
20,19,0.980000,0.925000
20,20,0.980000,0.896000
20,21,0.980000,0.931000
20,22,0.980000,0.893500
20,23,0.980000,0.897500
20,24,0.980000,0.898000
20,25,0.980000,0.924500
20,26,0.980000,0.920000
20,27,0.980000,0.947000
20,28,0.980000,0.915500
20,29,0.980000,0.908500
20,30,0.980000,0.914000
20,31,0.980000,0.907500
20,32,0.980000,0.915500
20,33,0.980000,0.942500
