geracao,especie,sepal_length,sepal_width,petal_length,petal_width
1,setosa,5.028460,3.388920,2.013248,0.100000
1,versicolor,5.918142,2.383516,3.205604,1.327258
1,virginica,6.639245,2.919808,5.715043,2.044172
2,setosa,5.028460,3.388920,2.013248,0.100000
2,versicolor,5.918142,2.383516,3.205604,1.327258
2,virginica,6.639245,2.919808,5.715043,2.044172
3,setosa,5.028460,3.388920,2.013248,0.100000
3,versicolor,5.918142,2.383516,3.205604,1.327258
3,virginica,6.639245,2.919808,5.715043,2.044172
4,setosa,5.028460,3.388920,2.013248,0.100000
4,versicolor,5.918142,2.383516,3.205604,1.327258
4,virginica,6.639245,2.919808,5.715043,2.044172
5,setosa,5.028460,3.388920,2.013248,0.100000
5,versicolor,5.918142,2.383516,3.205604,1.327258
5,virginica,6.639245,2.919808,5.715043,2.044172
6,setosa,5.028460,3.388920,2.013248,0.100000
6,versicolor,5.918142,2.383516,3.205604,1.327258
6,virginica,6.639245,2.919808,5.715043,2.044172
7,setosa,5.028460,3.388920,2.013248,0.100000
7,versicolor,5.918142,2.383516,3.205604,1.327258
7,virginica,6.639245,2.919808,5.715043,2.044172
8,setosa,5.028460,3.388920,2.013248,0.100000
8,versicolor,5.918142,2.383516,3.205604,1.327258
8,virginica,6.639245,2.919808,5.715043,2.044172
9,setosa,5.028460,3.388920,2.013248,0.100000
9,versicolor,5.918142,2.383516,3.205604,1.327258
9,virginica,6.639245,2.919808,5.715043,2.044172
10,setosa,5.028460,3.388920,2.013248,0.100000
10,versicolor,5.918142,2.383516,3.205604,1.327258
10,virginica,6.639245,2.919808,5.715043,2.044172
11,setosa,5.028460,3.388920,2.013248,0.100000
11,versicolor,5.918142,2.383516,3.205604,1.327258
11,virginica,6.639245,2.919808,5.715043,2.044172
12,setosa,5.028460,3.388920,2.013248,0.100000
12,versicolor,5.918142,2.383516,3.205604,1.327258
12,virginica,6.639245,2.919808,5.715043,2.044172
13,setosa,5.028460,3.388920,2.013248,0.100000
13,versicolor,5.918142,2.383516,3.205604,1.327258
13,virginica,6.639245,2.919808,5.715043,2.044172
14,setosa,7.609795,2.387410,2.340951,0.131271
14,versicolor,4.351084,3.824662,5.346311,0.952099
14,virginica,6.813920,2.869453,6.626801,2.420926
15,setosa,7.609795,2.387410,2.340951,0.131271
15,versicolor,4.351084,3.824662,5.346311,0.952099
15,virginica,6.813920,2.869453,6.626801,2.420926
16,setosa,7.609795,2.387410,2.340951,0.131271
16,versicolor,4.351084,3.824662,5.346311,0.952099
16,virginica,6.813920,2.869453,6.626801,2.420926
17,setosa,7.609795,2.387410,2.340951,0.131271
17,versicolor,4.351084,3.824662,5.346311,0.952099
17,virginica,6.813920,2.869453,6.626801,2.420926
18,setosa,7.609795,2.387410,2.340951,0.131271
18,versicolor,4.351084,3.824662,5.346311,0.952099
18,virginica,6.813920,2.869453,6.626801,2.420926
19,setosa,7.609795,2.387410,2.340951,0.131271
19,versicolor,4.351084,3.824662,5.346311,0.952099
19,virginica,6.813920,2.869453,6.626801,2.420926
20,setosa,7.609795,2.387410,2.340951,0.131271
20,versicolor,4.351084,3.824662,5.346311,0.952099
20,virginica,6.813920,2.869453,6.626801,2.420926
21,setosa,7.609795,2.387410,2.340951,0.131271
21,versicolor,4.351084,3.824662,5.346311,0.952099
21,virginica,6.813920,2.869453,6.626801,2.420926
22,setosa,7.609795,2.387410,2.340951,0.131271
22,versicolor,4.351084,3.824662,5.346311,0.952099
22,virginica,6.813920,2.869453,6.626801,2.420926
23,setosa,7.609795,2.387410,2.340951,0.131271
23,versicolor,4.351084,3.824662,5.346311,0.952099
23,virginica,6.813920,2.869453,6.626801,2.420926
24,setosa,7.609795,2.387410,2.340951,0.131271
24,versicolor,4.351084,3.824662,5.346311,0.952099
24,virginica,6.813920,2.869453,6.626801,2.420926
25,setosa,7.609795,2.387410,2.340951,0.131271
25,versicolor,4.351084,3.824662,5.346311,0.952099
25,virginica,6.813920,2.869453,6.626801,2.420926
26,setosa,7.609795,2.387410,2.340951,0.131271
26,versicolor,4.351084,3.824662,5.346311,0.952099
26,virginica,6.813920,2.869453,6.626801,2.420926
27,setosa,7.609795,2.387410,2.340951,0.131271
27,versicolor,4.351084,3.824662,5.346311,0.952099
27,virginica,6.813920,2.869453,6.626801,2.420926
28,setosa,7.609795,2.387410,2.340951,0.131271
28,versicolor,4.351084,3.824662,5.346311,0.952099
28,virginica,6.813920,2.869453,6.626801,2.420926
29,setosa,7.609795,2.387410,2.340951,0.131271
29,versicolor,4.351084,3.824662,5.346311,0.952099
29,virginica,6.813920,2.869453,6.626801,2.420926
30,setosa,7.609795,2.387410,2.340951,0.131271
30,versicolor,4.351084,3.824662,5.346311,0.952099
30,virginica,6.813920,2.869453,6.626801,2.420926
31,setosa,7.609795,2.387410,2.340951,0.131271
31,versicolor,4.351084,3.824662,5.346311,0.952099
31,virginica,6.813920,2.869453,6.626801,2.420926
32,setosa,7.609795,2.387410,2.340951,0.131271
32,versicolor,4.351084,3.824662,5.346311,0.952099
32,virginica,6.813920,2.869453,6.626801,2.420926
33,setosa,7.609795,2.387410,2.340951,0.131271
33,versicolor,4.351084,3.824662,5.346311,0.952099
33,virginica,6.813920,2.869453,6.626801,2.420926
34,setosa,7.609795,2.387410,2.340951,0.131271
34,versicolor,4.351084,3.824662,5.346311,0.952099
34,virginica,6.813920,2.869453,6.626801,2.420926
35,setosa,7.609795,2.387410,2.340951,0.131271
35,versicolor,4.351084,3.824662,5.346311,0.952099
35,virginica,6.813920,2.869453,6.626801,2.420926
36,setosa,7.609795,2.387410,2.340951,0.131271
36,versicolor,4.351084,3.824662,5.346311,0.952099
36,virginica,6.813920,2.869453,6.626801,2.420926
37,setosa,7.609795,2.387410,2.340951,0.131271
37,versicolor,4.351084,3.824662,5.346311,0.952099
37,virginica,6.813920,2.869453,6.626801,2.420926
38,setosa,4.418843,4.098661,2.317525,1.993425
38,versicolor,7.088460,2.479004,4.703114,0.215390
38,virginica,6.040869,2.032224,6.442634,2.442606
39,setosa,4.418843,4.098661,2.317525,1.993425
39,versicolor,7.088460,2.479004,4.703114,0.215390
39,virginica,6.040869,2.032224,6.442634,2.442606
40,setosa,4.418843,4.098661,2.317525,1.993425
40,versicolor,7.088460,2.479004,4.703114,0.215390
40,virginica,6.040869,2.032224,6.442634,2.442606
41,setosa,4.418843,4.098661,2.317525,1.993425
41,versicolor,7.088460,2.479004,4.703114,0.215390
41,virginica,6.040869,2.032224,6.442634,2.442606
42,setosa,4.418843,4.098661,2.317525,1.993425
42,versicolor,7.088460,2.479004,4.703114,0.215390
42,virginica,6.040869,2.032224,6.442634,2.442606
43,setosa,4.418843,4.098661,2.317525,1.993425
43,versicolor,7.088460,2.479004,4.703114,0.215390
43,virginica,6.040869,2.032224,6.442634,2.442606
44,setosa,4.418843,4.098661,2.317525,1.993425
44,versicolor,7.088460,2.479004,4.703114,0.215390
44,virginica,6.040869,2.032224,6.442634,2.442606
45,setosa,4.418843,4.098661,2.317525,1.993425
45,versicolor,7.088460,2.479004,4.703114,0.215390
45,virginica,6.040869,2.032224,6.442634,2.442606
46,setosa,4.418843,4.098661,2.317525,1.993425
46,versicolor,7.088460,2.479004,4.703114,0.215390
46,virginica,6.040869,2.032224,6.442634,2.442606
47,setosa,4.418843,4.098661,2.317525,1.993425
47,versicolor,7.088460,2.479004,4.703114,0.215390
47,virginica,6.040869,2.032224,6.442634,2.442606
48,setosa,4.418843,4.098661,2.317525,1.993425
48,versicolor,7.088460,2.479004,4.703114,0.215390
48,virginica,6.040869,2.032224,6.442634,2.442606
49,setosa,4.418843,4.098661,2.317525,1.993425
49,versicolor,7.088460,2.479004,4.703114,0.215390
49,virginica,6.040869,2.032224,6.442634,2.442606
50,setosa,4.418843,4.098661,2.317525,1.993425
50,versicolor,7.088460,2.479004,4.703114,0.215390
50,virginica,6.040869,2.032224,6.442634,2.442606
